Re,Rugosidad,f
1.87E+05,0.01000,0.038227
2.15E+05,0.01000,0.038185
2.48E+05,0.01000,0.038149
2.85E+05,0.01000,0.038117
3.27E+05,0.01000,0.038089
3.76E+05,0.01000,0.038065
4.33E+05,0.01000,0.038044
4.98E+05,0.01000,0.038026
5.72E+05,0.01000,0.038010
6.58E+05,0.01000,0.037996
7.56E+05,0.01000,0.037984
8.7E+05,0.01000,0.037974
1E+06,0.01000,0.037965
1.15E+06,0.01000,0.037957
1.32E+06,0.01000,0.037950
1.52E+06,0.01000,0.037944
1.75E+06,0.01000,0.037939
2.01E+06,0.01000,0.037934
2.31E+06,0.01000,0.037930
2.66E+06,0.01000,0.037927
3.05E+06,0.01000,0.037924
3.51E+06,0.01000,0.037921
4.04E+06,0.01000,0.037919
4.64E+06,0.01000,0.037917
5.34E+06,0.01000,0.037915
6.14E+06,0.01000,0.037914
7.05E+06,0.01000,0.037912
8.11E+06,0.01000,0.037911
9.33E+06,0.01000,0.037910
1.07E+07,0.01000,0.037909
1.23E+07,0.01000,0.037909
1.42E+07,0.01000,0.037908
1.63E+07,0.01000,0.037907
1.87E+07,0.01000,0.037907
2.15E+07,0.01000,0.037907
2.48E+07,0.01000,0.037906
2.85E+07,0.01000,0.037906
3.27E+07,0.01000,0.037906
3.76E+07,0.01000,0.037905
4.33E+07,0.01000,0.037905
4.98E+07,0.01000,0.037905
5.72E+07,0.01000,0.037905
6.58E+07,0.01000,0.037905
7.56E+07,0.01000,0.037905
8.7E+07,0.01000,0.037904
1E+08,0.01000,0.037904
1E+02,0.02000,0.177405
1.15E+02,0.02000,0.165582
1.32E+02,0.02000,0.154894
1.52E+02,0.02000,0.145213
1.75E+02,0.02000,0.136430
2.01E+02,0.02000,0.128447
2.31E+02,0.02000,0.121183
2.66E+02,0.02000,0.114563
3.05E+02,0.02000,0.108524
3.51E+02,0.02000,0.103011
4.04E+02,0.02000,0.097973
4.64E+02,0.02000,0.093367
5.34E+02,0.02000,0.089155
6.14E+02,0.02000,0.085302
7.05E+02,0.02000,0.081778
8.11E+02,0.02000,0.078556
9.33E+02,0.02000,0.075611
1.07E+03,0.02000,0.072921
1.23E+03,0.02000,0.070466
1.42E+03,0.02000,0.068229
1.63E+03,0.02000,0.066192
1.87E+03,0.02000,0.064341
2.15E+03,0.02000,0.062661
2.48E+03,0.02000,0.061140
2.85E+03,0.02000,0.059765
3.27E+03,0.02000,0.058524
3.76E+03,0.02000,0.057407
4.33E+03,0.02000,0.056404
4.98E+03,0.02000,0.055505
5.72E+03,0.02000,0.054701
6.58E+03,0.02000,0.053984
7.56E+03,0.02000,0.053346
8.7E+03,0.02000,0.052778
1E+04,0.02000,0.052275
1.15E+04,0.02000,0.051830
1.32E+04,0.02000,0.051436
1.52E+04,0.02000,0.051089
1.75E+04,0.02000,0.050783
2.01E+04,0.02000,0.050514
2.31E+04,0.02000,0.050278
2.66E+04,0.02000,0.050070
3.05E+04,0.02000,0.049888
3.51E+04,0.02000,0.049729
4.04E+04,0.02000,0.049590
4.64E+04,0.02000,0.049468
5.34E+04,0.02000,0.049361
6.14E+04,0.02000,0.049268
7.05E+04,0.02000,0.049187
8.11E+04,0.02000,0.049116
9.33E+04,0.02000,0.049054
1.07E+05,0.02000,0.049001
1.23E+05,0.02000,0.048954
1.42E+05,0.02000,0.048913
1.63E+05,0.02000,0.048877
1.87E+05,0.02000,0.048846
2.15E+05,0.02000,0.048819
2.48E+05,0.02000,0.048795
2.85E+05,0.02000,0.048775
3.27E+05,0.02000,0.048757
3.76E+05,0.02000,0.048741
4.33E+05,0.02000,0.048728
4.98E+05,0.02000,0.048716
5.72E+05,0.02000,0.048706
6.58E+05,0.02000,0.048697
7.56E+05,0.02000,0.048689
8.7E+05,0.02000,0.048683
1E+06,0.02000,0.048677
1.15E+06,0.02000,0.048672
1.32E+06,0.02000,0.048667
1.52E+06,0.02000,0.048663
1.75E+06,0.02000,0.048660
2.01E+06,0.02000,0.048657
2.31E+06,0.02000,0.048654
2.66E+06,0.02000,0.048652
3.05E+06,0.02000,0.048650
3.51E+06,0.02000,0.048649
4.04E+06,0.02000,0.048647
4.64E+06,0.02000,0.048646
5.34E+06,0.02000,0.048645
6.14E+06,0.02000,0.048644
7.05E+06,0.02000,0.048643
8.11E+06,0.02000,0.048642
9.33E+06,0.02000,0.048642
1.07E+07,0.02000,0.048641
1.23E+07,0.02000,0.048641
1.42E+07,0.02000,0.048640
1.63E+07,0.02000,0.048640
1.87E+07,0.02000,0.048640
2.15E+07,0.02000,0.048639
2.48E+07,0.02000,0.048639
2.85E+07,0.02000,0.048639
3.27E+07,0.02000,0.048639
3.76E+07,0.02000,0.048639
4.33E+07,0.02000,0.048638
4.98E+07,0.02000,0.048638
5.72E+07,0.02000,0.048638
6.58E+07,0.02000,0.048638
7.56E+07,0.02000,0.048638
8.7E+07,0.02000,0.048638
1E+08,0.02000,0.048638
1E+02,0.05000,0.189729
1.15E+02,0.05000,0.177940
1.32E+02,0.05000,0.167322
1.52E+02,0.05000,0.157745
1.75E+02,0.05000,0.149097
2.01E+02,0.05000,0.141282
2.31E+02,0.05000,0.134214
2.66E+02,0.05000,0.127819
3.05E+02,0.05000,0.122032
3.51E+02,0.05000,0.116794
4.04E+02,0.05000,0.112055
4.64E+02,0.05000,0.107769
5.34E+02,0.05000,0.103895
6.14E+02,0.05000,0.100397
7.05E+02,0.05000,0.097242
8.11E+02,0.05000,0.094400
9.33E+02,0.05000,0.091843
1.07E+03,0.05000,0.089546
1.23E+03,0.05000,0.087487
1.42E+03,0.05000,0.085643
1.63E+03,0.05000,0.083996
1.87E+03,0.05000,0.082527
2.15E+03,0.05000,0.081219
2.48E+03,0.05000,0.080057
2.85E+03,0.05000,0.079026
3.27E+03,0.05000,0.078114
3.76E+03,0.05000,0.077307
4.33E+03,0.05000,0.076595
4.98E+03,0.05000,0.075967
5.72E+03,0.05000,0.075415
6.58E+03,0.05000,0.074929
7.56E+03,0.05000,0.074503
8.7E+03,0.05000,0.074129
1E+04,0.05000,0.073801
1.15E+04,0.05000,0.073514
1.32E+04,0.05000,0.073263
1.52E+04,0.05000,0.073044
1.75E+04,0.05000,0.072852
2.01E+04,0.05000,0.072685
2.31E+04,0.05000,0.072539
2.66E+04,0.05000,0.072411
3.05E+04,0.05000,0.072300
3.51E+04,0.05000,0.072203
4.04E+04,0.05000,0.072119
4.64E+04,0.05000,0.072045
5.34E+04,0.05000,0.071981
6.14E+04,0.05000,0.071925
7.05E+04,0.05000,0.071877
8.11E+04,0.05000,0.071834
9.33E+04,0.05000,0.071798
1.07E+05,0.05000,0.071765
1.23E+05,0.05000,0.071738
1.42E+05,0.05000,0.071713
1.63E+05,0.05000,0.071692
1.87E+05,0.05000,0.071674
2.15E+05,0.05000,0.071658
2.48E+05,0.05000,0.071644
2.85E+05,0.05000,0.071632
3.27E+05,0.05000,0.071621
3.76E+05,0.05000,0.071612
4.33E+05,0.05000,0.071604
4.98E+05,0.05000,0.071597
5.72E+05,0.05000,0.071591
6.58E+05,0.05000,0.071586
7.56E+05,0.05000,0.071581
8.7E+05,0.05000,0.071577
1E+06,0.05000,0.071574
1.15E+06,0.05000,0.071571
1.32E+06,0.05000,0.071568
1.52E+06,0.05000,0.071566
1.75E+06,0.05000,0.071564
2.01E+06,0.05000,0.071562
2.31E+06,0.05000,0.071561
2.66E+06,0.05000,0.071559
3.05E+06,0.05000,0.071558
3.51E+06,0.05000,0.071557
4.04E+06,0.05000,0.071556
4.64E+06,0.05000,0.071556
5.34E+06,0.05000,0.071555
6.14E+06,0.05000,0.071554
7.05E+06,0.05000,0.071554
8.11E+06,0.05000,0.071554
9.33E+06,0.05000,0.071553
1.07E+07,0.05000,0.071553
1.23E+07,0.05000,0.071553
1.42E+07,0.05000,0.071552
1.63E+07,0.05000,0.071552
1.87E+07,0.05000,0.071552
2.15E+07,0.05000,0.071552
2.48E+07,0.05000,0.071552
2.85E+07,0.05000,0.071551
3.27E+07,0.05000,0.071551
3.76E+07,0.05000,0.071551
4.33E+07,0.05000,0.071551
4.98E+07,0.05000,0.071551
5.72E+07,0.05000,0.071551
6.58E+07,0.05000,0.071551
7.56E+07,0.05000,0.071551
8.7E+07,0.05000,0.071551
1E+08,0.05000,0.071551
