Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Panasonic,2,Copper,1660 W,d: Yes,38 dB,0.0,0,₹53897,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/f/p/7/-original-imagcs6gksjpynua.jpeg?q=70
Blue,Star,Copper,739.27 W, R32,62 dB,4.2,745,₹33990,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70
MarQ,By,Copper,840.75 W, R-32,38 dB,4.3,7176,₹34999,https://rukminim1.flixcart.com/image/312/312/ka1e6q80/air-conditioner-new/d/a/t/fkac155siap-1-5-split-dual-inverter-marq-by-flipkart-original-imafrp7zeyehmmef.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Daikin,1,Copper,1200 W,d: No,27 dB,4.3,0,₹35590,https://rukminim1.flixcart.com/image/312/312/l0y6qa80/air-conditioner-new/k/2/b/-original-imagcmh2tzcnmtys.jpeg?q=70
SAMSUNG,1.5,Copper,1700 W, R - 32,53 dB,4.8,0,₹34499,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/c/k/y/-original-imagch5k2dqsqenb.jpeg?q=70
Whirlpool,1,Copper,1140 W, R32,30 dB,5.0,0,₹34000,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/k/3/7/1-0t-3dcool-swing-pro-3s-copr-inv-1-split-inverter-whirlpool-original-imafnw9kagntyrfs.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Croma,2,Copper,1291 W, R - 32,55 dB,0.0,0,0,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/air-conditioner-new/j/h/t/-original-imagfdg8dqtqfanh.jpeg?q=70
Lloyd,2,Copper,1810 W,d: Yes,38 dB,0.0,0,₹54990,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/t/h/e/-original-imagfzpcq47p7av5.jpeg?q=70
Lloyd,2,Copper,1263.64 kWh, R-32,43 dB,4.0,715,₹48999,https://rukminim1.flixcart.com/image/312/312/kn4xhu80/air-conditioner-new/p/y/8/gls24i36wsel-split-lloyd-inverter-original-imagfw5bnghsehzm.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Haier,1.5,Copper,1630 W,d: No,59 dB,0.0,0,₹37499,https://rukminim1.flixcart.com/image/312/312/ktvucnk0/air-conditioner-new/e/s/u/hsu18c-ncg4b-inv-split-haier-inverter-original-imag74rhgj4sgxwp.jpeg?q=70
Daikin,1.5,Copper,1670 W,d: No,46 dB,0.0,0,₹44830,https://rukminim1.flixcart.com/image/312/312/l59xq4w0/air-conditioner-new/k/0/b/-original-imagfzzwpnqrrbxc.jpeg?q=70
Lloyd,2,Copper,1386.43 kWh, R-32,38 dB,4.1,388,₹47499,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/air-conditioner-new/g/l/z/-original-image87v97tke4hh.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Nokia,4,Copper,1009 kWh, R32,38 dB,4.2,266,₹31990,https://rukminim1.flixcart.com/image/312/312/ks6ef0w0/air-conditioner-new/i/1/x/nokia153siai-split-triple-inverter-nokia-original-imag5sxgyugugeez.jpeg?q=70
Voltas,1.5,Copper,1355 W, R32,46 dB,4.3,4522,₹39990,https://rukminim1.flixcart.com/image/312/312/jw3umq80/air-conditioner-new/9/5/r/185v-jzj-r32-1-5-split-inverter-voltas-original-imafguw9zffgqfeu.jpeg?q=70
Lloyd,1.5,Copper,1119.36 kWh, R-32,42 dB,4.0,715,₹32500,https://rukminim1.flixcart.com/image/312/312/kl9rssw0/air-conditioner-new/h/b/j/ls18b32epb2-1-5-split-lloyd-fixed-speed-original-imagyfpj4nfkrxmm.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
